file,width,height,name,class,xmin,ymin,xmax,ymax
IMG_5310.jpg,1440,1080,Duz veya Sola Gidis (Go straight or left),10,457,423,499,463
IMG_5350.jpg,1440,1080,Duz veya Sola Gidis (Go straight or left),10,344,368,398,419
IMG_5589.jpg,1440,1080,Yayalar (Pedestrians),23,687,410,710,432
IMG_0952.jpg,1080,1440,Trafik Isiklari (Traffic signals),22,682,521,782,614
IMG_1718.jpg,1080,1440,Sagdan Gidiniz (Keep right),19,476,524,533,583
IMG_5218.jpg,1440,1080,Genel Uyari (General caution),14,897,386,977,455
IMG_0682.jpg,1440,1080,Dur (Stop),8,442,503,480,541
IMG_5363.jpg,1440,1080,Engebeli Yol (Bumpy road),11,981,420,1055,493
IMG_1425.jpg,1080,1440,Yaya Gecidi (Crosswalk),33,267,565,304,600
IMG_1425.jpg,1080,1440,Yaya Gecidi (Crosswalk),33,841,587,878,624
IMG_1181.jpg,1080,1440,Sola Tehlikeli Viraj (Dangerous curve to the left),20,309,491,354,536
IMG_1181.jpg,1080,1440,Sola Tehlikeli Viraj (Dangerous curve to the left),20,866,504,938,573
IMG_5542.jpg,1440,1080,Trafik Isiklari (Traffic signals),22,977,468,1035,521
IMG_0765.jpg,1080,1440,Duz veya Sola Gidis (Go straight or left),10,591,730,611,751
IMG_0765.jpg,1080,1440,Oncelikli Yol (Priority road),17,156,643,225,709
IMG_1327.jpg,1080,1440,Buzlanma (Beware of ice/snow),7,35,575,113,647
IMG_2006.jpg,1080,1440,Saga Surekli Tehlikeli Viraj (Double curve-Right),15,559,331,772,521
IMG_2006.jpg,1080,1440,Gecis Yasagi (No passing),13,602,502,756,650
IMG_5530.jpg,1440,1080,Oncelikli Yol (Priority road),17,456,435,489,474
IMG_2335.jpg,1080,1440,Gevsek Yamac (Loose Slope),29,916,191,1080,349
IMG_1340.jpg,1080,1440,50km_h Hiz Limiti (Speed limit),2,23,599,82,654
IMG_1340.jpg,1080,1440,50km_h Hiz Limiti (Speed limit),2,866,590,915,637
IMG_5843.jpg,1440,1080,Soldan Gidiniz (Keep left),21,688,484,723,516
IMG_5843.jpg,1440,1080,Sagdan Gidiniz (Keep right),19,1206,435,1256,498
IMG_5843.jpg,1440,1080,Duz veya Saga Gidis (Go straight or right),9,1337,417,1394,481
IMG_1938.jpg,1080,1440,Gecis Yasagi (No passing),13,573,822,624,872
IMG_1252.jpg,1080,1440,Bir Sonraki Kavsakta Gecis Hakki (Right-of-way at the next intersection),6,631,586,766,702
IMG_1171.jpg,1080,1440,Trafik Isiklari (Traffic signals),22,771,495,905,618
IMG_5649.jpg,1440,1080,Yol Ver (Yield),25,311,474,361,515
IMG_1693.jpg,1080,1440,Genel Uyari (General caution),14,474,503,587,614
IMG_1752.jpg,1080,1440,50km_h Hiz Limiti (Speed limit),2,92,718,127,751
IMG_1752.jpg,1080,1440,50km_h Hiz Limiti (Speed limit),2,421,717,450,746
IMG_5521.jpg,1440,1080,Trafik Isiklari (Traffic signals),22,523,441,566,481
IMG_5521.jpg,1440,1080,Trafik Isiklari (Traffic signals),22,919,440,959,475
IMG_1600.jpg,1080,1440,70km_h Hiz Limiti (Speed limit),4,289,690,307,711
IMG_1600.jpg,1080,1440,70km_h Hiz Limiti (Speed limit),4,501,680,522,703
IMG_1600.jpg,1080,1440,Sagdan Ana Yola Giris (Entry from Right to Main Road),41,615,610,703,694
IMG_0709.jpg,1080,1440,30km_h Hiz Limiti (Speed limit),1,560,692,586,717
IMG_0709.jpg,1080,1440,Genel Uyari (General caution),14,637,643,698,696
IMG_5231.jpg,1440,1080,70km_h Hiz Limiti (Speed limit),4,505,501,532,530
IMG_1809.jpg,1080,1440,Gecis Yasagi Sonu (End of no passing),12,503,671,553,717
IMG_1972.jpg,1080,1440,Gecis Yasagi (No passing),13,539,593,658,721
IMG_1915.jpg,1080,1440,Sola Tehlikeli Viraj (Dangerous curve to the left),20,378,553,437,614
IMG_1915.jpg,1080,1440,Gecis Yasagi (No passing),13,383,606,428,651
IMG_2343.jpg,1080,1440,Bir Sonraki Kavsakta Gecis Hakki (Right-of-way at the next intersection),6,883,533,979,606
IMG_1229.jpg,1080,1440,50km_h Hiz Limiti (Speed limit),2,456,745,519,812
IMG_5704.jpg,1440,1080,Engebeli Yol (Bumpy road),11,779,459,804,488
IMG_5704.jpg,1440,1080,30km_h Hiz Limiti (Speed limit),1,782,481,803,502
IMG_5704.jpg,1440,1080,Her Iki Yandan gidiniz (Go from both sides),35,554,469,573,488
IMG_1572.jpg,1080,1440,Engebeli Yol (Bumpy road),11,516,657,551,690
IMG_1572.jpg,1080,1440,50km_h Hiz Limiti (Speed limit),2,518,687,547,715
IMG_1572.jpg,1080,1440,Soldan Gidiniz (Keep left),21,960,656,977,674
IMG_5691.jpg,1440,1080,Yaya Gecidi (Crosswalk),33,189,336,259,408
IMG_5691.jpg,1440,1080,U Donusu Yasak (U Turn is not allowed),28,303,421,357,472
IMG_5691.jpg,1440,1080,Sagdan Gidiniz (Keep right),19,550,452,578,482
IMG_5691.jpg,1440,1080,Yaya Gecidi (Crosswalk),33,1309,317,1397,398
IMG_1088.jpg,1080,1440,Saga Tehlikeli Viraj (Dangerous curve to the right),18,235,386,372,504
IMG_1088.jpg,1080,1440,Saga Tehlikeli Viraj (Dangerous curve to the right),18,235,386,372,504
IMG_2501.jpg,1080,1440,Gevsek Malzemeli Yol (Loose Material Road),31,163,252,238,330
IMG_0965.jpg,1080,1440,Trafik Isiklari (Traffic signals),22,836,498,975,628
IMG_0965.jpg,1080,1440,70km_h Hiz Limiti (Speed limit),4,556,587,585,619
IMG_0965.jpg,1080,1440,50km_h Hiz Limiti (Speed limit),2,585,589,616,619
IMG_0965.jpg,1080,1440,50km_h Hiz Limiti (Speed limit),2,614,588,643,620
IMG_5714.jpg,1440,1080,Dur (Stop),8,1109,451,1157,494
IMG_1127.jpg,1080,1440,Trafik Isiklari (Traffic signals),22,698,552,796,646
IMG_1210.jpg,1080,1440,Bir Sonraki Kavsakta Gecis Hakki (Right-of-way at the next intersection),6,587,458,698,576
IMG_5741.jpg,1440,1080,Trafik Isiklari (Traffic signals),22,637,472,673,508
IMG_5741.jpg,1440,1080,Trafik Isiklari (Traffic signals),22,998,462,1037,500
IMG_5741.jpg,1440,1080,Duraklamak ve Parketmek Yasaktir (No stoping and parking),34,1291,395,1323,426
IMG_1078.jpg,1080,1440,Yaya Gecidi (Crosswalk),33,412,473,499,556
IMG_1790.jpg,1080,1440,Gecis Yasagi Sonu (End of no passing),12,435,630,499,699
IMG_5841.jpg,1440,1080,Dur (Stop),8,138,410,256,532
IMG_5841.jpg,1440,1080,Duz veya Saga Gidis (Go straight or right),9,1007,517,1043,558
IMG_1971.jpg,1080,1440,Gecis Yasagi (No passing),13,167,753,220,813
IMG_1971.jpg,1080,1440,Gecis Yasagi (No passing),13,834,767,876,809
IMG_2318.jpg,1080,1440,Saga Surekli Tehlikeli Viraj (Double curve-Right),15,489,413,552,473
IMG_1319.jpg,1080,1440,Gevsek Yamac (Loose Slope),29,22,607,74,655
IMG_1319.jpg,1080,1440,Gevsek Yamac (Loose Slope),29,601,569,661,624
IMG_1246.jpg,1080,1440,Sagdan Gidiniz (Keep right),19,193,476,387,667
IMG_1110.jpg,1080,1440,Bir Sonraki Kavsakta Gecis Hakki (Right-of-way at the next intersection),6,359,655,422,712
IMG_1965.jpg,1080,1440,Dur (Stop),8,772,753,867,853
IMG_5497.jpg,1440,1080,70km_h Hiz Limiti (Speed limit),4,916,442,936,466
IMG_1800.jpg,1080,1440,Gecis Yasagi (No passing),13,573,586,646,663
IMG_1828.jpg,1080,1440,Bir Sonraki Kavsakta Gecis Hakki (Right-of-way at the next intersection),6,351,696,410,751
IMG_0956.jpg,1080,1440,Oncelikli Yol (Priority road),17,583,529,632,581
IMG_0677.jpg,1440,1080,Dur (Stop),8,785,473,838,523
IMG_0677.jpg,1440,1080,Duz veya Sola Gidis (Go straight or left),10,1154,513,1184,543
IMG_0884.jpg,1080,1440,90km_h Hiz Limiti (Speed limit),5,554,644,590,682
IMG_5247.jpg,1440,1080,Trafik Isiklari (Traffic signals),22,143,454,222,521
IMG_1331.jpg,1080,1440,Sagdan Gidiniz (Keep right),19,337,560,402,625
IMG_5753.jpg,1440,1080,Duz veya Sola Gidis (Go straight or left),10,498,517,536,559
IMG_5780.jpg,1440,1080,Yaya Gecidi (Crosswalk),33,985,397,1015,426
IMG_1056.jpg,1080,1440,Bir Sonraki Kavsakta Gecis Hakki (Right-of-way at the next intersection),6,280,582,321,622
IMG_1056.jpg,1080,1440,70km_h Hiz Limiti (Speed limit),4,641,575,664,600
IMG_1056.jpg,1080,1440,Bir Sonraki Kavsakta Gecis Hakki (Right-of-way at the next intersection),6,715,578,760,616
IMG_5774.jpg,1440,1080,Engebeli Yol (Bumpy road),11,575,389,612,427
IMG_5774.jpg,1440,1080,Duz veya Saga Gidis (Go straight or right),9,875,425,896,442
IMG_5774.jpg,1440,1080,Engebeli Yol (Bumpy road),11,1045,373,1083,411
IMG_2502.jpg,1080,1440,Gevsek Malzemeli Yol (Loose Material Road),31,461,68,600,211
IMG_5422.jpg,1440,1080,Bir Sonraki Kavsakta Gecis Hakki (Right-of-way at the next intersection),6,590,445,613,466
IMG_5422.jpg,1440,1080,Bir Sonraki Kavsakta Gecis Hakki (Right-of-way at the next intersection),6,805,433,832,461
IMG_5249.jpg,1440,1080,Yaya Gecidi (Crosswalk),33,281,468,328,515
IMG_2407.jpg,1080,1440,Sagdan Gidiniz (Keep right),19,548,652,581,686
IMG_5726.jpg,1440,1080,Okul Gecidi (School passing),37,333,326,418,409
IMG_5726.jpg,1440,1080,30km_h Hiz Limiti (Speed limit),1,340,406,409,473
IMG_5726.jpg,1440,1080,Sagdan Gidiniz (Keep right),19,408,405,475,471
IMG_5726.jpg,1440,1080,Duraklamak ve Parketmek Yasaktir (No stoping and parking),34,1153,358,1210,413
IMG_0960.jpg,1080,1440,Bir Sonraki Kavsakta Gecis Hakki (Right-of-way at the next intersection),6,106,468,231,575
IMG_0960.jpg,1080,1440,Genel Uyari (General caution),14,150,569,197,606
IMG_2342.jpg,1080,1440,Gevsek Yamac (Loose Slope),29,475,551,526,594
IMG_2342.jpg,1080,1440,Dur (Stop),8,789,512,842,577
IMG_1875.jpg,1080,1440,Ikili Viraj (Double curve),28,737,604,807,676
IMG_1573.jpg,1080,1440,Engebeli Yol (Bumpy road),11,0,586,86,685
IMG_1573.jpg,1080,1440,50km_h Hiz Limiti (Speed limit),2,3,677,74,754
IMG_1573.jpg,1080,1440,Soldan Gidiniz (Keep left),21,1023,643,1046,667
IMG_1424.jpg,1080,1440,Ehli Hayvan Gecebilir (Animal crossing),32,380,489,479,579
IMG_1092.jpg,1080,1440,Sola Tehlikeli Viraj (Dangerous curve to the left),20,292,431,437,567
IMG_1092.jpg,1080,1440,Yaya Gecidi (Crosswalk),33,642,677,672,708
IMG_5248.jpg,1440,1080,Yaya Gecidi (Crosswalk),33,500,512,530,539
IMG_5419.jpg,1440,1080,Sola Tehlikeli Viraj (Dangerous curve to the left),20,242,409,310,477
IMG_5419.jpg,1440,1080,Sola Tehlikeli Viraj (Dangerous curve to the left),20,895,398,957,456
IMG_5463.jpg,1440,1080,Oncelikli Yol (Priority road),17,462,430,489,460
IMG_5463.jpg,1440,1080,Oncelikli Yol (Priority road),17,875,428,906,460
IMG_2337.jpg,1080,1440,Buzlanma (Beware of ice/snow),7,582,399,629,442
IMG_1337.jpg,1080,1440,Buzlanma (Beware of ice/snow),7,315,578,355,617
IMG_1337.jpg,1080,1440,Buzlanma (Beware of ice/snow),7,735,540,795,601
IMG_1731.jpg,1080,1440,Sagdan Gidiniz (Keep right),19,363,601,429,669
IMG_0855.jpg,1080,1440,Sagdan Gidiniz (Keep right),19,310,553,369,613
IMG_1058.jpg,1080,1440,Yol Ver (Yield),25,614,530,693,602
IMG_1348.jpg,1080,1440,Sola Surekli Tehlikeli Viraj (Double curve-Right),36,225,501,260,532
IMG_1348.jpg,1080,1440,Sola Surekli Tehlikeli Viraj (Double curve-Right),36,554,486,596,526
IMG_1927.jpg,1080,1440,Saga Surekli Tehlikeli Viraj (Double curve-Right),15,665,609,793,713
IMG_5584.jpg,1440,1080,Her Iki Yandan gidiniz (Go from both sides),35,870,465,894,493
IMG_5584.jpg,1440,1080,Genel Uyari (General caution),14,999,422,1030,452
IMG_5584.jpg,1440,1080,Engebeli Yol (Bumpy road),11,999,444,1031,472
IMG_1874.jpg,1080,1440,Saga Surekli Tehlikeli Viraj (Double curve-Right),15,517,648,551,681
IMG_5353.jpg,1440,1080,Yol Ver (Yield),25,339,418,370,451
IMG_5327.jpg,1440,1080,70km_h Hiz Limiti (Speed limit),4,1008,381,1051,427
IMG_1362.jpg,1080,1440,Sola Tehlikeli Viraj (Dangerous curve to the left),20,770,433,873,527
IMG_5415.jpg,1440,1080,Duz veya Saga Gidis (Go straight or right),9,1060,475,1090,505
IMG_1668.jpg,1080,1440,EDS,38,532,635,557,657
IMG_5443.jpg,1440,1080,Kaygan yol (Slippery road),16,282,364,323,409
IMG_5443.jpg,1440,1080,Kaygan yol (Slippery road),16,991,420,1059,483
IMG_5750.jpg,1440,1080,Oncelikli Yol (Priority road),17,448,460,492,503
IMG_5750.jpg,1440,1080,Oncelikli Yol (Priority road),17,445,459,492,505
IMG_5750.jpg,1440,1080,Duz veya Saga Gidis (Go straight or right),9,898,509,923,530
IMG_5750.jpg,1440,1080,Oncelikli Yol (Priority road),17,1257,456,1304,501
IMG_2399.jpg,1080,1440,Sagdan Gidiniz (Keep right),19,343,656,368,680
IMG_1321.jpg,1080,1440,Saga Tehlikeli Viraj (Dangerous curve to the right),18,32,606,84,656
IMG_1321.jpg,1080,1440,50km_h Hiz Limiti (Speed limit),2,40,653,80,691
IMG_1321.jpg,1080,1440,Saga Tehlikeli Viraj (Dangerous curve to the right),18,593,614,641,662
IMG_1321.jpg,1080,1440,50km_h Hiz Limiti (Speed limit),2,606,660,630,686
IMG_1896.jpg,1080,1440,Gevsek Yamac (Loose Slope),29,546,648,613,715
IMG_1289.jpg,1080,1440,Sola Tehlikeli Viraj (Dangerous curve to the left),20,735,573,849,679
IMG_1289.jpg,1080,1440,Egimli Yol (Slop),39,754,664,837,738
IMG_5216.jpg,1440,1080,Genel Uyari (General caution),14,802,427,889,494
IMG_5216.jpg,1440,1080,Engebeli Yol (Bumpy road),11,811,484,885,551
IMG_5692.jpg,1440,1080,Sagdan Gidiniz (Keep right),19,141,352,223,430
IMG_5739.jpg,1440,1080,Yaya Gecidi (Crosswalk),33,900,475,931,514
IMG_1531.jpg,1080,1440,90km_h Hiz Limiti (Speed limit),5,747,572,795,622
IMG_5266.jpg,1440,1080,Duz veya Saga Gidis (Go straight or right),9,985,439,1038,494
IMG_0743.jpg,1080,1440,Oncelikli Yol (Priority road),17,392,668,429,705
IMG_0743.jpg,1080,1440,Oncelikli Yol (Priority road),17,985,705,1023,742
IMG_5393.jpg,1440,1080,Duz veya Saga Gidis (Go straight or right),9,951,442,985,475
IMG_1306.jpg,1080,1440,Dur (Stop),8,551,694,582,725
IMG_1306.jpg,1080,1440,Saga Surekli Tehlikeli Viraj (Double curve-Right),15,702,549,809,648
IMG_1306.jpg,1080,1440,Buzlanma (Beware of ice/snow),7,708,638,816,733
